Date,Open,High,Low,Close,Adj Close,Volume
2021-11-18,47.509998,47.560001,46.759998,47.000000,47.000000,9422542
2021-11-19,46.950001,48.500000,46.860001,48.220001,48.220001,18983519
2021-11-22,48.090000,48.820000,47.779999,48.529999,48.529999,15898263
2021-11-23,48.360001,49.389999,48.189999,48.599998,48.599998,16213781
2021-11-24,48.599998,50.849998,48.150002,49.799999,49.799999,26184916
2021-11-25,49.549999,49.980000,48.980000,49.049999,49.049999,14318704
2021-11-26,49.000000,49.290001,48.470001,48.610001,48.610001,10416915
2021-11-29,47.880001,48.200001,47.700001,47.770000,47.770000,9944176
2021-11-30,48.310001,48.599998,47.599998,47.599998,47.599998,10631311
2021-12-01,47.599998,50.000000,47.599998,49.250000,49.250000,24351781
2021-12-02,49.000000,50.000000,48.889999,49.750000,49.750000,20358085
2021-12-03,49.750000,50.970001,49.470001,49.900002,49.900002,18736745
2021-12-06,50.680000,51.970001,49.880001,49.880001,49.880001,29738492
2021-12-07,50.650002,50.799999,49.310001,49.970001,49.970001,15819128
2021-12-08,50.450001,50.750000,49.669998,50.709999,50.709999,15985541
2021-12-09,50.669998,53.099998,50.259998,52.320000,52.320000,33906415
2021-12-10,51.549999,52.290001,51.389999,51.770000,51.770000,18020004
2021-12-13,52.959999,55.080002,52.500000,52.700001,52.700001,35151184
2021-12-14,52.070000,53.220001,52.070000,52.689999,52.689999,16312263
2021-12-15,52.779999,53.849998,52.599998,52.730000,52.730000,14473936
2021-12-16,52.750000,53.130001,52.009998,52.590000,52.590000,12037879
2021-12-17,52.790001,52.869999,51.450001,51.529999,51.529999,13672861
2021-12-20,51.520000,51.849998,50.400002,50.439999,50.439999,11289495
2021-12-21,50.500000,51.290001,50.070000,51.060001,51.060001,10515597
2021-12-22,51.110001,51.250000,50.500000,50.730000,50.730000,7764104
2021-12-23,50.830002,51.099998,50.160000,50.299999,50.299999,8699866
2021-12-24,50.250000,50.619999,49.520000,49.560001,49.560001,10620853
2021-12-27,49.669998,49.770000,49.090000,49.189999,49.189999,8489141
2021-12-28,49.500000,49.869999,49.009998,49.750000,49.750000,10088052
2021-12-29,49.700001,49.720001,48.480000,48.509998,48.509998,11993996
2021-12-30,48.110001,49.419998,48.029999,49.080002,49.080002,12727383
2021-12-31,49.099998,49.389999,48.919998,49.029999,49.029999,8673109
2022-01-04,49.209999,49.279999,48.509998,49.099998,49.099998,9120525
2022-01-05,49.099998,49.700001,48.700001,48.860001,48.860001,12643909
2022-01-06,48.570000,48.660000,47.209999,47.570000,47.570000,16360218
2022-01-07,47.790001,47.990002,47.209999,47.320000,47.320000,9912413
2022-01-10,47.570000,48.020000,47.299999,47.880001,47.880001,7841551
2022-01-11,47.799999,48.500000,47.669998,47.970001,47.970001,7557976
2022-01-12,48.009998,48.290001,47.799999,48.150002,48.150002,6965957
2022-01-13,48.380001,48.759998,48.099998,48.209999,48.209999,10379225
2022-01-14,47.639999,48.099998,47.320000,47.369999,47.369999,8803819
2022-01-17,47.299999,47.560001,46.790001,47.200001,47.200001,9213465
2022-01-18,47.110001,47.619999,46.500000,46.869999,46.869999,14949754
2022-01-19,46.779999,47.330002,46.500000,46.959999,46.959999,9137024
2022-01-20,46.830002,48.490002,46.720001,47.889999,47.889999,18030270
2022-01-21,47.590000,47.799999,46.930000,47.160000,47.160000,9428637
2022-01-24,46.970001,47.360001,46.900002,47.049999,47.049999,6110478
2022-01-25,46.950001,47.330002,45.959999,46.020000,46.020000,10199238
2022-01-26,45.799999,46.820000,45.400002,46.169998,46.169998,9260420
2022-01-27,45.939999,46.000000,44.200001,44.279999,44.279999,9990239
2022-01-28,44.660000,45.099998,43.349998,43.450001,43.450001,8576745
2022-02-07,44.000000,44.150002,43.500000,43.970001,43.970001,7440532
2022-02-08,43.959999,44.980000,43.810001,44.959999,44.959999,8630171
2022-02-09,44.700001,45.540001,44.529999,45.259998,45.259998,8347618
2022-02-10,45.200001,45.360001,44.880001,45.340000,45.340000,6270565
2022-02-11,45.299999,46.060001,45.000000,45.060001,45.060001,9209010
2022-02-14,44.770000,44.770000,42.880001,43.430000,43.430000,11860124
2022-02-15,43.540001,43.630001,43.029999,43.380001,43.380001,7358896
